ID;CLASIFICACIÓN 1 ;CLASIFICACIÓN 2 ;DESCRIPCIÓN ;ALTAL INV;NS;ESTADO PARA DISPOSICIÓN;UBICACIÓN
1;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas KEYSIGHT U1194A TRMS;67600;TW58270109;DISPONIBLE;TALLER PAÑOL
2;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas KEYSIGHT U1194A TRMS;67602;TW58270056;DISPONIBLE;TALLER PAÑOL
3;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas KEYSIGHT U1194A TRMS;67599;TW58270102;DISPONIBLE;TALLER PAÑOL
4;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas KEYSIGHT U1194A TRMS;67601;TW58270105;DISPONIBLE;TALLER PAÑOL
5;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas LEM LH1000 TRMS;10930;;DISPONIBLE;TALLER PAÑOL
6;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 9132 TRMS;;;DISPONIBLE;TALLER PAÑOL
7;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 9132 TRMS;;;DISPONIBLE;TALLER PAÑOL
8;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 9132 TRMS;;;DISPONIBLE;TALLER PAÑOL
9;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 9132 TRMS;;;DISPONIBLE;TALLER PAÑOL
10;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas FLUKE 36 TRMS;;70506605;DISPONIBLE;TALLER PAÑOL
11;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas FLUKE 36 TRMS;;70506606;DISPONIBLE;TALLER PAÑOL
12;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas AMEC 725 TRMS;5128;01G19513;DISPONIBLE;TALLER PAÑOL
13;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas UYUSTOOLS TSD306 TRMS;;5620872;DISPONIBLE;TALLER PAÑOL
14;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas SCHNEIDER ELECTRIC IMT23214 TRMS;;DF19128825;DISPONIBLE;TALLER PAÑOL
15;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas SCHNEIDER ELECTRIC IMT23214 TRMS;;DF19128893;DISPONIBLE;TALLER PAÑOL
16;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas SCHNEIDER ELECTRIC IMT23214 TRMS;;DF19128851;DISPONIBLE;TALLER PAÑOL
17;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas SCHNEIDER ELECTRIC IMT23214 TRMS;;DF19129043;DISPONIBLE;TALLER PAÑOL
18;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 3283 TRMS;;230921;DISPONIBLE;TALLER PAÑOL
19;INSTRUMENTO;AMPERIMETRO DE TENAZAS;Amperimetro de tenezas HIOKI 3283 TRMS;;230900;DISPONIBLE;TALLER PAÑOL
20;INSTRUMENTO;MULTIMETRO;Multimetro LG DM311 VM;;S81000772;DISPONIBLE;TALLER PAÑOL
21;INSTRUMENTO;MULTIMETRO;Multimetro LG DM311 VM;;S80601016;DISPONIBLE;TALLER PAÑOL
22;INSTRUMENTO;MULTIMETRO;Multimetro LG DM311 VM;;S80601014;DISPONIBLE;TALLER PAÑOL
23;INSTRUMENTO;MULTIMETRO;Multimetro LG DM311 VM;;S80601020;DISPONIBLE;TALLER PAÑOL
24;INSTRUMENTO;MULTIMETRO;Multimetro LG DM332 VM;;S90200340;DISPONIBLE;TALLER PAÑOL
25;INSTRUMENTO;MULTIMETRO;Multimetro LG DM332 VM;;S90200238;DISPONIBLE;TALLER PAÑOL
26;INSTRUMENTO;MULTIMETRO;Multimetro LG DM332 VM;;S90200327;DISPONIBLE;TALLER PAÑOL
27;INSTRUMENTO;MULTIMETRO;Multimetro TEK DMM 870 TRMS;;142849;DISPONIBLE;TALLER PAÑOL
28;INSTRUMENTO;MULTIMETRO;Multimetro LG DM332 VM;;S81000780;DISPONIBLE;TALLER PAÑOL
29;INSTRUMENTO;MULTIMETRO;Multimetro EXTECH 430 TRMS;18169 - 17646;50100096;DISPONIBLE;TALLER PAÑOL
30;INSTRUMENTO;MULTIMETRO;Multimetro EXTECH 430 TRMS;18020;41202528;DISPONIBLE;TALLER PAÑOL
31;INSTRUMENTO;MULTIMETRO;Multimetro EXTECH 430 TRMS;17347;50101746;DISPONIBLE;TALLER PAÑOL
32;INSTRUMENTO;MULTIMETRO;Multimetro KEYSIGHT U1233A TRMS;67597;MY57359019;DISPONIBLE;TALLER PAÑOL
33;INSTRUMENTO;MULTIMETRO;Multimetro KEYSIGHT U1233A TRMS;67596;MY57390012;DISPONIBLE;TALLER PAÑOL
34;INSTRUMENTO;MULTIMETRO;Multimetro KEYSIGHT U1233A TRMS;67593;MY59130090;DISPONIBLE;TALLER PAÑOL
35;INSTRUMENTO;MULTIMETRO;Multimetro KEYSIGHT U1233A TRMS;67598;MY57319035;DISPONIBLE;TALLER PAÑOL
36;INSTRUMENTO;MULTIMETRO;Multimetro KEYSIGHT U1233A TRMS;67594;MY59130085;DISPONIBLE;TALLER PAÑOL
